trip_label,pt_sequence,stop_id,method,n_points,mse,rmse,mae,mape_pct,wape_pct
20001_0310_2,5,45833890,naive,521,0.005461245152918548,0.0739002378407441,0.05363842180345543,81.7699229679266,60.54786042651965
20001_0310_2,5,45833890,timesfm,521,0.0066127185589055565,0.08131862369042873,0.055000112698576104,70.95790372251476,62.08495766931208
20001_0310_2,6,45833892,naive,520,0.008216631256997647,0.09064563562024179,0.06402820474826372,100.62240153180338,56.00600805915042
20001_0310_2,6,45833892,timesfm,520,0.010100325402216248,0.1005003751347041,0.0652863974974025,77.46373558816366,57.10655981638427
20001_0310_2,7,129107065,naive,521,0.01447007629776349,0.12029163020660867,0.06880942898428857,91.43693865522303,63.4951127408387
20001_0310_2,7,129107065,timesfm,521,0.022552739468511836,0.15017569533220693,0.08221156268864119,96.90024594796691,75.86216770826138
20001_0310_2,8,45833893,naive,520,0.007962556039252977,0.08923315549308439,0.0686443131023015,82.39231998033047,42.25650397804896
20001_0310_2,8,45833893,timesfm,520,0.00998011914058901,0.09990054624770082,0.0748217996962082,81.09779992692145,46.0592805669957
20001_0310_2,9,215205217,naive,517,0.001039112494861155,0.03223526787326507,0.022063261899571123,57.28902902201041,133.8204518385447
20001_0310_2,9,215205217,timesfm,517,0.0011690498640739631,0.0341913711932406,0.017329156959627088,82.39158728519782,105.1066530812217
20001_0310_2,10,45833280,naive,518,0.0022043520232304225,0.04695052740098265,0.03320628547102472,68.64061831957748,75.30354667598407
20001_0310_2,10,45833280,timesfm,518,0.002433504568810261,0.049330564245812766,0.03253454827866697,59.76518301614856,73.780214803684
20001_0310_2,11,44783382,naive,518,0.00048743008191822574,0.022077818776279186,0.015754042677383538,54.22255130876491,104.13918091213472
20001_0310_2,11,44783382,timesfm,518,0.0005785395626559088,0.02405284936667398,0.014437963942060891,70.30614979612447,95.43948621668142
20001_0310_2,12,44782441,naive,517,0.005027360089530624,0.0709038792276602,0.037097921888380014,66.91738351734057,75.0968054743381
20001_0310_2,12,44782441,timesfm,517,0.005296287505737939,0.07277559691090096,0.03831981214449463,65.18265636266275,77.57026086492617
20001_0310_2,13,69442471,naive,515,0.0006664464240955334,0.02581562364335856,0.013530179791523197,61.35838387738389,135.94797543185203
20001_0310_2,13,69442471,timesfm,515,0.0007400169426632607,0.027203252428032586,0.010299550070982873,95.61640763585564,103.48738905053956
20001_0310_2,14,45833896,naive,515,0.0016706641883742273,0.040873759166171975,0.027398278705721486,76.56457140412337,121.85268414419814
