#{"t_start": 1749318088.2601073, "env_id": "None"}
r,l,t
-100000.0,1,3.583486
-100000.0,1,3.587328
-204270.123598,2,3.590383
-618706.091213,3,3.598472
-571773.634396,2,3.60248
-100000.0,1,3.604735
-100000.0,1,3.609796
-100000.0,1,3.615144
-100000.0,1,3.621938
-100000.0,1,3.624593
-100000.0,1,3.629244
-100000.0,1,3.634402
-100000.0,1,3.638419
-100000.0,1,3.640404
-100000.0,1,3.644065
-100000.0,1,3.648591
-100000.0,1,3.653655
-100000.0,1,3.656649
-100000.0,1,3.660196
-100000.0,1,3.665565
-100000.0,1,3.668599
-100000.0,1,3.670599
-100000.0,1,3.675324
-1244906.72453,3,3.68381
-100000.0,1,3.686031
-100000.0,1,3.688427
-100000.0,1,3.691497
-100000.0,1,3.696101
-100000.0,1,3.698784
-100000.0,1,3.701478
-100000.0,1,3.704976
-100000.0,1,3.708693
-592712.137944,2,3.716237
-100000.0,1,3.720283
-100000.0,1,3.723491
-100000.0,1,3.730002
-100000.0,1,3.734381
-100000.0,1,3.740354
-100000.0,1,3.743985
-100000.0,1,3.74874
-100000.0,1,3.751092
-100000.0,1,3.754258
-100000.0,1,3.759692
-100000.0,1,3.766985
-100000.0,1,3.769971
-100000.0,1,3.774571
-100000.0,1,3.777251
-100000.0,1,3.782634
-100000.0,1,3.787532
-100000.0,1,3.790485
-100000.0,1,3.793962
-100000.0,1,3.799118
-100000.0,1,3.802912
-100000.0,1,3.80614
-100000.0,1,3.809183
-100000.0,1,3.814842
-100000.0,1,3.819879
-100000.0,1,3.824615
-100000.0,1,3.826621
-100000.0,1,3.832611
-100000.0,1,3.83682
-100000.0,1,3.840056
-100000.0,1,3.845075
-100000.0,1,3.851054
-2008039.9009,2,3.856473
-100000.0,1,3.862008
-100000.0,1,3.867536
-100000.0,1,3.871794
-100000.0,1,3.874969
-100000.0,1,3.876745
-100000.0,1,3.882183
-100000.0,1,3.887215
-100000.0,1,3.891721
-100000.0,1,3.895504
-100000.0,1,3.898835
-100000.0,1,3.905972
-100000.0,1,3.909689
-100000.0,1,3.912662
-100000.0,1,3.918205
-100000.0,1,3.924655
-100000.0,1,3.92981
-100000.0,1,3.933951
-100000.0,1,3.937341
-100000.0,1,3.941608
-100000.0,1,3.945823
-100000.0,1,3.947714
-100000.0,1,3.951568
-100000.0,1,3.955717
-100000.0,1,3.961294
-100000.0,1,3.964009
-100000.0,1,3.967712
-100000.0,1,3.97311
-100000.0,1,3.976487
-100000.0,1,3.979972
-100000.0,1,3.986788
-100000.0,1,3.992058
-100000.0,1,3.997446
-100000.0,1,4.002298
-100000.0,1,4.006546
-100000.0,1,4.012467
-100000.0,1,4.019012
-100000.0,1,4.022484
-100000.0,1,4.026505
-100000.0,1,4.031168
-100000.0,1,4.035968
-100000.0,1,4.040044
-100000.0,1,4.042113
-100000.0,1,4.046849
-100000.0,1,4.052413
-100000.0,1,4.057067
-100000.0,1,4.059776
-100000.0,1,4.064819
-100000.0,1,4.07259
-100000.0,1,4.077419
-100000.0,1,4.07946
-225637.499991,3,4.085258
-100000.0,1,4.088047
-100000.0,1,4.089938
-100000.0,1,4.095793
-100000.0,1,4.102138
-100000.0,1,4.10421
-100000.0,1,4.107811
-100000.0,1,4.110749
-100000.0,1,4.114805
-100000.0,1,4.116507
-100000.0,1,4.120182
-100000.0,1,4.123701
-100000.0,1,4.127804
-100000.0,1,4.129416
-100000.0,1,4.131704
-100000.0,1,4.135488
-100000.0,1,4.142848
-100000.0,1,4.148664
-100000.0,1,4.150527
-100000.0,1,4.154789
-100000.0,1,4.159905
-100000.0,1,4.166726
-100000.0,1,4.169982
-100000.0,1,4.177016
-100000.0,1,4.182533
-100000.0,1,4.186508
-100000.0,1,4.188816
-340087.619692,2,4.196637
-100000.0,1,4.20137
-100000.0,1,4.206455
-100000.0,1,4.210084
-100000.0,1,4.213457
-100000.0,1,4.218917
-100000.0,1,4.223161
-100000.0,1,4.227801
-100000.0,1,4.232478
-100000.0,1,4.238325
-100000.0,1,4.241292
-100000.0,1,4.247423
-100000.0,1,4.251616
-100000.0,1,4.257339
-100000.0,1,4.264592
-100000.0,1,4.269728
-100000.0,1,4.27232
-100000.0,1,4.279126
-100000.0,1,4.284379
-100000.0,1,4.289256
-100000.0,1,4.296294
-100000.0,1,4.303261
-100000.0,1,4.306113
-100000.0,1,4.313455
-100000.0,1,4.317332
-100000.0,1,4.323703
-100000.0,1,4.327763
-100000.0,1,4.332458
-100000.0,1,4.335217
-100000.0,1,4.340784
-632365.01596,2,4.345874
-100000.0,1,4.349427
-100000.0,1,4.352837
-100000.0,1,4.359902
-100000.0,1,4.364138
-100000.0,1,4.36657
-100000.0,1,4.369619
-100000.0,1,4.373572
-100000.0,1,4.380146
-100000.0,1,4.38429
-100000.0,1,4.387538
-100000.0,1,4.39316
-100000.0,1,4.399734
-100000.0,1,4.403817
-100000.0,1,4.406064
-100000.0,1,4.410381
-1036475.600437,2,4.417901
-100000.0,1,4.423951
-100000.0,1,4.428817
-100000.0,1,4.435324
-100000.0,1,4.440325
-1591135.036451,2,4.447472
-100000.0,1,4.450981
-100000.0,1,4.456573
-100000.0,1,4.459211
-100000.0,1,4.461276
-100000.0,1,4.467396
-100000.0,1,4.473611
-100000.0,1,4.475278
-100000.0,1,4.477908
-100000.0,1,4.486016
-2235594.804367,2,4.493824
-100000.0,1,4.49735
-100000.0,1,4.502539
-100000.0,1,4.504901
-100000.0,1,4.510685
-100000.0,1,4.513154
-100000.0,1,4.516199
-100000.0,1,4.518421
-100000.0,1,4.523756
-100000.0,1,4.526039
-100000.0,1,4.530509
-100000.0,1,4.532144
-100000.0,1,4.538565
-100000.0,1,4.54145
-100000.0,1,4.544781
-100000.0,1,4.549415
-100000.0,1,4.557848
-100000.0,1,4.564121
-100000.0,1,4.56879
-100000.0,1,4.571341
-100000.0,1,4.578275
-100000.0,1,4.585014
-100000.0,1,4.591271
-100000.0,1,4.596543
-100000.0,1,4.602865
-100000.0,1,4.605128
-100000.0,1,4.611532
-100000.0,1,4.615075
-100000.0,1,4.618631
-100000.0,1,4.621595
-100000.0,1,4.625584
-100000.0,1,4.627691
-100000.0,1,4.632375
-100000.0,1,4.635394
-100000.0,1,4.641465
-100000.0,1,4.648263
-100000.0,1,4.654234
-100000.0,1,4.655962
-100000.0,1,4.662231
-100000.0,1,4.665277
-100000.0,1,4.670503
-100000.0,1,4.675311
-100000.0,1,4.67948
-100000.0,1,4.683289
-100000.0,1,4.690768
-100000.0,1,4.693162
-100000.0,1,4.696609
-100000.0,1,4.69954
-100000.0,1,4.706871
-100000.0,1,4.709973
-100000.0,1,4.715087
-100000.0,1,4.720131
-100000.0,1,4.724089
-100000.0,1,4.726223
-100000.0,1,4.732278
-100000.0,1,4.738132
-100000.0,1,4.744132
-100000.0,1,4.749557
-100000.0,1,4.874156
-100000.0,1,4.879097
-100000.0,1,4.882864
-100000.0,1,4.886381
-100000.0,1,4.88969
-100000.0,1,4.893794
-100000.0,1,4.901726
-394215.729736,2,4.906369
-100000.0,1,4.908991
-100000.0,1,4.912542
-100000.0,1,4.919543
-100000.0,1,4.923991
-100000.0,1,4.928352
-100000.0,1,4.932337
-100000.0,1,4.936398
-100000.0,1,4.939457
-100000.0,1,4.943958
-100000.0,1,4.948871
-100000.0,1,4.954819
-828001.221546,2,4.958896
-100000.0,1,4.96183
-100000.0,1,4.96511
-100000.0,1,4.970402
-100000.0,1,4.974141
-100000.0,1,4.976379
-100000.0,1,4.984179
-100000.0,1,4.99169
-100000.0,1,4.995991
-100000.0,1,4.999341
-100000.0,1,5.002482
-100000.0,1,5.008479
-100000.0,1,5.011456
-100000.0,1,5.013432
-100000.0,1,5.01545
-100000.0,1,5.023826
-100000.0,1,5.02649
-100000.0,1,5.030496
-100000.0,1,5.034405
-100000.0,1,5.040887
-100000.0,1,5.044583
-100000.0,1,5.048068
-100000.0,1,5.051559
-100000.0,1,5.059208
-100000.0,1,5.064572
-100000.0,1,5.068035
-100000.0,1,5.070999
-100000.0,1,5.080418
-100000.0,1,5.082659
-100000.0,1,5.086389
-100000.0,1,5.089494
-100000.0,1,5.096433
-100000.0,1,5.099243
-100000.0,1,5.100985
-100000.0,1,5.104628
-100000.0,1,5.111769
-100000.0,1,5.114804
-100000.0,1,5.118149
-100000.0,1,5.12076
-100000.0,1,5.13036
-100000.0,1,5.134302
-100000.0,1,5.139271
-100000.0,1,5.143064
-100000.0,1,5.151905
-100000.0,1,5.154111
-100000.0,1,5.155898
-100000.0,1,5.157849
-100000.0,1,5.164021
-100000.0,1,5.168445
-100000.0,1,5.172344
-100000.0,1,5.174856
-100000.0,1,5.183497
-100000.0,1,5.188682
-100000.0,1,5.195484
-100000.0,1,5.200025
-100000.0,1,5.206727
-100000.0,1,5.2102
-100000.0,1,5.213182
-100000.0,1,5.215924
-100000.0,1,5.222901
-118722.5,2,5.228221
-100000.0,1,5.231911
-100000.0,1,5.238774
-100000.0,1,5.24294
-100000.0,1,5.24754
