algo,variant,group,seed,auc
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 21",0.5892046803782699
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 22",0.5844114878537818
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 23",0.5825576931722583
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 24",0.5848244924127383
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 25",0.5866336563095467
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 3",0.5818399088760291
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 4",0.5863557917454423
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 5",0.5875503760605464
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 6",0.5852639043832504
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 7",0.5853997720382637
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 8",0.5885058055249968
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 9",0.584179713045495
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 1",0.8706509690759554
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 10",0.8695202100120961
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 11",0.8745116117788143
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 12",0.8741397691190553
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 13",0.8758399433749599
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 14",0.8745116117788143
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 15",0.8760545183434709
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 16",0.8781932372737842
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 17",0.8706509690759554
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 18",0.8781932372737842
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 19",0.8758399433749599
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 2",0.8760545183434709
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 20",0.8785818311505171
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 21",0.8706509690759554
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 22",0.8695202100120961
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 23",0.8785818311505171
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 24",0.8758399433749599
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 25",0.8758399433749599
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 3",0.8695202100120961
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 4",0.8745116117788143
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 5",0.8785818311505171
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 6",0.8695202100120961
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 7",0.8785818311505171
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 8",0.8745116117788143
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 9",0.8761168519277424
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 1",0.20614527061061919
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 10",0.20696643035136952
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 11",0.20643104617155847
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 12",0.20727562211347467
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 13",0.20629186215583037
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 14",0.20692924417036204
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 15",0.20699006468302183
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 16",0.20657336115065988
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 17",0.20699006468302183
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 18",0.20727562211347467
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 19",0.20657336115065988
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 2",0.20696643035136952
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 20",0.20727562211347467
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 21",0.207035620912385
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 22",0.20696643035136952
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 23",0.20692924417036204
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 24",0.20727562211347467
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 25",0.20657336115065988
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 3",0.20657336115065988
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 4",0.20631471000517393
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 5",0.20672663487543913
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 6",0.20614527061061919
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 7",0.20631471000517393
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 8",0.20672663487543913
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 9",0.20629186215583037
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 1",0.7278154398168715
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 10",0.7170593964931669
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 11",0.7426104387062946
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 12",0.6693103275490904
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 13",0.7426104387062946
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 14",0.7426104387062946
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 15",0.6567755490720671
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 16",0.668357137665599
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 17",0.6512175936047566
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 18",0.6512175936047566
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 19",0.7036141419153035
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 2",0.6114219648679969
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 20",0.6567755490720671
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 21",0.7426104387062946
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 22",0.761774298528521
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 23",0.668357137665599
